Node,WiD1,WiD2,WiD3
734,7,42,283
735,12,239,2423
736,3,31,326
737,9,124,1111
738,10,145,1538
739,5,35,498
740,3,59,469
741,6,53,671
742,2,200,1879
743,12,111,1090
744,3,122,1281
745,2,29,210
746,5,32,386
747,9,105,888
748,4,215,2039
749,4,26,338
750,10,67,603
751,2,53,887
752,5,53,433
753,3,20,293
754,4,63,776
755,3,71,1006
756,8,77,916
757,12,240,2570
758,2,35,528
759,8,88,824
760,3,29,369
761,12,60,565
762,3,30,246
763,3,47,375
764,6,37,280
765,7,123,1332
766,9,82,765
767,7,212,2446
768,11,74,1094
769,9,240,2382
770,5,227,2216
771,4,49,398
772,5,54,524
773,9,69,1042
774,4,62,483
775,3,62,735
776,5,67,591
777,4,131,1582
778,2,57,530
779,11,105,1289
780,8,212,2093
781,6,110,1288
782,6,90,1135
783,9,77,976
784,5,28,237
785,2,21,251
786,6,184,1957
787,7,70,548
788,7,213,1989
789,6,53,367
790,2,18,378
791,5,57,574
792,6,40,436
793,6,47,429
794,13,114,1078
795,4,45,473
796,2,13,110
797,4,203,2125
798,3,33,525
799,4,227,2455
800,4,34,423
801,10,59,700
802,7,80,856
803,6,141,1283
804,2,48,335
805,11,69,846
806,5,52,686
807,7,132,1379
808,4,125,1314
809,6,75,852
810,10,93,948
811,15,165,1914
812,5,42,486
813,7,72,719
814,7,49,944
815,10,57,480
816,5,95,788
817,12,81,714
818,11,106,1069
819,3,78,960
820,4,51,651
821,4,70,816
822,3,44,433
823,3,222,2042
824,3,83,978
825,7,209,2064
826,13,87,942
827,5,37,310
828,4,37,475
829,4,179,2118
830,7,54,409
831,4,42,502
832,7,45,428
833,6,57,626
834,5,36,321
835,2,199,1965
836,6,66,510
837,13,243,2962
838,7,54,691
839,5,43,264
840,12,88,758
841,4,37,510
842,4,125,1354
843,3,76,828
844,9,77,1035
845,6,55,582
846,3,81,1172
847,2,62,501
848,5,55,423
849,4,39,470
850,7,63,654
851,7,88,725
852,9,80,627
853,6,87,956
854,6,164,1676
855,7,223,2067
856,4,37,635
857,4,44,524
858,4,255,2818
859,10,63,492
860,8,108,1298
861,2,82,925
862,5,64,571
863,3,117,1098
864,4,87,814
865,14,247,2835
866,9,63,587
867,7,234,2319
868,7,67,689
869,4,155,1603
870,2,30,216
871,3,38,360
872,5,50,717
873,5,44,657
874,7,132,1405
875,13,113,1685
876,3,47,361
877,4,80,885
878,14,100,1277
879,7,124,1391
880,5,81,951
881,4,36,213
882,2,37,443
883,17,101,1423
884,2,211,2170
885,4,43,688
886,8,48,593
887,4,202,1907
888,4,93,1023
889,4,39,364
890,19,134,1715
891,8,137,1212
892,7,70,722
893,4,31,238
894,5,136,1715
895,6,211,2428
896,3,22,135
897,4,23,384
898,4,91,959
899,5,49,385
900,5,55,352
901,13,83,878
902,6,63,773
903,7,103,1010
904,8,74,661
905,8,245,2503
906,2,36,636
907,4,30,350
908,4,43,308
909,4,39,636
910,3,193,2161
911,8,50,484
912,4,43,668
913,10,71,840
914,4,26,321
915,6,237,2633
916,3,61,911
917,2,58,736
918,2,107,1264
919,4,37,383
920,4,67,762
921,3,68,756
922,2,29,298
923,8,58,447
924,4,118,1244
925,4,76,524
926,3,192,2232
927,10,107,1094
928,2,33,573
929,10,68,574
930,2,29,209
931,8,78,810
932,6,60,588
933,3,34,493
934,7,93,1132
935,3,60,561
936,3,50,649
937,7,52,626
938,4,33,271
939,7,124,1358
940,7,61,615
941,9,47,477
942,2,31,459
943,2,148,1495
944,8,70,659
945,3,64,767
946,2,22,223
947,9,112,1043
948,6,209,2288
949,3,20,162
950,2,37,320
951,12,81,738
952,9,128,1021
953,6,41,310
954,3,48,430
955,5,45,343
956,10,51,538
957,2,198,2325
958,9,51,637
959,5,37,536
960,8,43,644
961,2,49,488
962,4,217,2123
963,4,40,559
964,9,52,722
965,2,62,500
966,5,68,502
967,3,24,250
968,7,56,622
969,7,33,390
970,6,51,379
971,10,124,1276
972,2,58,501
973,9,220,2275
974,6,58,481
975,4,143,1610
976,3,28,230
977,5,61,699
978,9,68,539
979,7,51,468
980,9,56,729
981,9,148,1397
982,2,28,534
983,2,51,478
984,6,86,897
985,6,38,438
986,6,54,446
987,5,253,2760
988,2,67,521
989,11,59,521
990,9,236,2296
991,2,21,371
992,2,45,501
993,9,41,469
994,4,33,447
995,3,214,2171
996,6,39,342
997,5,57,672
998,3,59,434
999,6,38,376
1000,4,51,574
1001,5,50,376
1002,14,84,860
1003,6,56,686
1004,3,36,343
1005,5,248,2650
1006,5,50,663
1007,10,53,576
